序号,UT,题名,判定,理由/标签,判定阶段
963,WOS:000904487200001,San Andreas Fault Displacement Hazard Characterization of the Los Angeles Aqueduct at the Elizabeth Tunnel,X,纯供水(LA引水渠断层灾害),题目+关键词
964,WOS:001426264200001,Coordinated operational optimization of water and power systems under emergency conditions,A,应急状态水-电系统协调运行优化(韧性),题目+关键词
965,WOS:001089733600001,Plot investigation on rill flow resistance due to path tortuosity,X,细沟水流阻力,题目+关键词
966,WOS:000959334800001,An improved method that incorporates the estimated runoff for peak discharge prediction on the Chinese Loess Plateau,X,黄土洪峰径流,题目+关键词
967,WOS:000426774000026,The impact of floods in hospital and mitigation measures: A literature review,X,医院洪灾综述,题目+关键词
968,WOS:000552392300142,"Assessment of Urban Disaster Resilience in Dhaka North City Corporation (DNCC), Bangladesh",X,达卡城市灾害韧性指数,题目+关键词
969,WOS:001686944400137,Combined impacts of extreme climate events and pandemic on future energy use in low-income households in Greater London,X,伦敦低收入家庭能源,题目+关键词
970,WOS:000249667300085,Design for resilience of networked critical infrastructures,X,网络化基建韧性设计(复杂适应系统),题目+关键词
971,WOS:001519093700008,Seasonal variation in soil erosion resistance of gullies covered by different plant communities on the Loess Plateau of China,X,沟坡植被抗蚀,题目+关键词
972,WOS:001458911900001,"The effects of armed conflict on natural resources and conservation measures in Tigray, Northern Ethiopia",X,提格雷冲突自然资源,题目+关键词
973,WOS:001756190200001,"Comparison of approaches using MUSLE, USLE-M and RUSLE2 for large-scale hydrosedimentological modelling",X,侵蚀模型比较,题目+关键词
974,WOS:001247991600001,Thermodynamic analysis of a multiple energy production system based on geothermal energy for commissioning in Canada and optimization by response surface method (RSM),X,过程级(地热多能),题目+关键词
975,WOS:000413332200003,Dredging effects on selected nutrient concentrations and ecoenzymatic activity in two drainage ditch sediments in the lower Mississippi River Valley,X,密西西比疏浚养分,题目+关键词
976,WOS:000287291100013,A preliminary fish assemblage index for a transitional river-reservoir system in southeastern Brazil,X,巴西鱼类指数,题目+关键词
977,WOS:001535933100001,"Energy Sustainability, Resilience, and Climate Adaptability of Modular and Panelized Buildings with a Lightweight Envelope Integrating Active Thermal Protection: Part 2-Design and Implementation of an Experimental Prototype of a Building Module for Modular Buildings",X,模块化建筑围护,题目+关键词
978,WOS:001719901600431,Operational Resilience Enhancement of Water-Energy Microgrids via ReserveMax Nonlinear Model Predictive Control,A,并网水-能微网运行韧性(NMPC储备),题目+关键词
979,WOS:000784128100001,Resilience Assessment Approach for Transmission Systems Considering Uncertainties of Ice Storms,X,纯电力(输电冰灾韧性),题目+关键词
980,WOS:001821279200011,WIPP: Towards IEC 62443-3-3 Network Compliance via Software-Defined Networking in Digital Substations,X,数字变电站SDN安全,题目+关键词
981,WOS:001427893100001,"Estimation of soil moisture of a high Andean wetland ecosystem (Bofedal) with geo-radar data and In-Situ measurements, Ayacucho - Peru",X,安第斯湿地土壤水分,题目+关键词
982,WOS:001459596500001,Soil erosion elasticity initiative for prioritizing sub-watersheds,X,流域侵蚀优先级,题目+关键词
983,WOS:001063709700001,"Geosystemic Impacts of the Extreme Rainfall Linked to the El Nino 2015/2016 Event in Northern Parana, Brazil",X,巴拉那极端降雨地貌,题目+关键词
984,WOS:000584264900001,Availability and Feasibility of Water Desalination as a Non-Conventional Resource for Agricultural Irrigation in the MENA Region: A Review,X,MENA农业灌溉淡化综述,题目+关键词
985,WOS:001795082800059,When Disasters Trigger Cyber Vulnerabilities: Mapping Physical-Digital Interdependencies in Critical Infrastructure Systems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
986,WOS:000381529400071,Clean energy utility for multifamily housing in a deregulated energy market,X,多户住宅清洁能源,题目+关键词
987,WOS:001756191700001,The effect of soil conservation measures on the sorting characteristics and transport mechanism of eroded sediment on spoil tips,X,排土场沉积物分选,题目+关键词
988,WOS:001312453000001,Technical-economic analysis and optimization of multiple effect distillation system by solar energy conversion as the heat source,X,过程级(太阳能MED-TVC),题目+关键词
989,WOS:001426917600001,Why we should revitalize indigenous water harvesting systems: Lessons learned,X,本土雨水收集系统,题目+关键词
990,WOS:001582732700001,"Lessons from the catastrophic floods in southern Brazil: geographic and environmental factors, vulnerabilities, and the resilience of nephrology services during natural disasters",X,巴西洪水肾病服务,题目+关键词
991,WOS:000265479400030,Technical Considerations in a Zero Energy Home Dorothy S. Small,X,零能耗住宅,题目+关键词
992,WOS:001582732700013,When the earth shakes unexpectedly: impact on nephrology services and patients,X,透析灾害,题目+关键词
993,WOS:000308334500007,Impact of Network Infrastructure Parameters to the Effectiveness of Cyber Attacks Against Industrial Control Systems,X,ICS网络参数攻击,题目+关键词
994,WOS:000771203400001,Resilience of Critical Infrastructure Systems to Floods: A Coupled Probabilistic Network Flow and LISFLOOD-FP Model,A,洪水下互依基础设施韧性(电-水短缺级联),摘要
995,WOS:000331920700036,Goal Tree Success Tree-Dynamic Master Logic Diagram and Monte Carlo simulation for the safety and resilience assessment of a multistate system of systems,X,多状态SoS安全韧性(核),题目+关键词
996,WOS:001425161300001,"Maximising sustainability: Planning and optimisation strategies for achieving 100 % renewable energy communities in remote islands - A case study of Corvo Island, Portugal",X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
997,WOS:000883172400001,Building Toward a Disaster Resilient Health System: A Study of Hospital Resilience,X,医院韧性,题目+关键词
998,WOS:000920308500001,Exploring the factors influencing the hydrological response of soil after low and high-severity fires with post-fire mulching in Mediterranean forests,X,火后土壤水文,题目+关键词
999,WOS:000256262600013,Technology in fibre recovery,X,纤维回收,题目+关键词
1000,WOS:000313790300010,Qatar water challenges,X,卡塔尔水挑战(淡化/污水/联产综述),题目+关键词
1001,WOS:A1997BH25E00006,High power multichip modules employing the planar embedding technique and microchannel water heat sinks,X,多芯片模块水冷,题目+关键词
1002,WOS:000761598700007,Hydrogen and wood-burning stoves,X,氢与柴炉,题目+关键词
1003,WOS:001480530700007,Evaluating the Resilience of Interdependent Infrastructure Systems with a Focus on Community Livability,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
1004,WOS:001581138100001,"Integrating Rainwater Harvesting and Solar Energy Systems for Sustainable Water and Energy Management in Low Rainfall Agricultural Region: A Case Study from Gönyeli, Northern Cyprus",X,雨水收集+太阳能(农业区),题目+关键词
1005,WOS:001425644600001,"Balancing water, power, and carbon: A synergistic optimization framework for mega cascade reservoir operations",X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
1006,WOS:001767482600001,Inoperability assessment of interdependent critical infrastructures exposed to natural hazards considering climate change,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
1007,WOS:000500583400006,Simulating hydraulic interdependence between bridges along a river corridor under transient flood conditions,X,桥梁-河道水力互依(洪水),题目+关键词
1008,WOS:000543049900049,Cyber-Attacks in a Looped Energy-Water Nexus: An Inoculated Sub-Observer-Based Approach,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
1009,WOS:000380176400067,PREMIXED PILOT FLAMES FOR IMPROVED EMISSIONS AND FLEXIBILITY IN A HEAVY DUTY GAS TURBINE COMBUSTION SYSTEM,X,燃机预混火焰,题目+关键词
1010,WOS:001227379300001,Scrutinizing Security in Industrial Control Systems: An Architectural Vulnerabilities and Communication Network Perspective,X,ICS安全架构,题目+关键词
1011,WOS:000582927200006,A review on energy supply chain resilience through optimization,X,"能源供应链韧性(气,无水)",题目+关键词
1012,WOS:000477698300035,Imperatives for health sector decision-support modelling,X,卫生部门决策建模,题目+关键词
1013,WOS:000564216100004,Monitoring the variation of soil quality with sewage sludge application rates in absence of rhizosphere effect,X,污泥土壤质量,题目+关键词
1014,WOS:001864662400001,Constraints on crop diversification under drought: Multi-scale evidence from California's San Joaquin Valley,X,加州作物多样化干旱,题目+关键词
1015,WOS:001041524900016,"Cascading disasters and mental health inequities: Winter Storm Uri, COVID-19 and post-traumatic stress in Texas",X,Uri风暴PTSD,题目+关键词
1016,WOS:000856028300001,"Improved and sustainable agroecosystem, food security and environmental resilience through zero tillage with emphasis on soils of temperate and subtropical climate regions: A review",X,免耕综述,题目+关键词
1017,WOS:000867888700008,Household Adaptations to Infrastructure System Service Interruptions,X,家庭服务中断适应(社会),题目+关键词
1018,WOS:001699733700001,Assessing the impact of residue cover on hillslope soil loss in the Midwest US: insights from the daily erosion project modeling framework,X,中西部覆盖侵蚀,题目+关键词
1019,WOS:000313794400063,Renewable desalination: a methodology for cost comparison,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
